date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:27:09	93/93	---MCZ	200	added ('OK')	text/plain	date:Mon,%2007%20Aug%202023%2009:18:02%20GMT	https://7oroof.com/robots.txt		(from )
22:27:09	72429/72429	---MCZ	200	added ('OK')	text/html	date:Thu,%2028%20Mar%202024%2002:27:09%20GMT	https://7oroof.com/demos/solatec/	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/index.html	(from )
22:27:10	1242/1242	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Aug%202021%2017:12:56%20GMT	https://7oroof.com/demos/solatec/assets/images/favicon/favicon.png	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/images/favicon/favicon.png	(from https://7oroof.com/demos/solatec/)
22:27:10	59344/59344	---MCZ	200	added ('OK')	text/css	etag:W/%2274bab4578692993514e7f882cc15c218%22	https://use.fontawesome.com/releases/v5.15.3/css/all.css	C:/My%20Web%20Sites/TSA/use.fontawesome.com/releases/v5.15.3/css/all.css	(from https://7oroof.com/demos/solatec/)
22:27:10	189533/189533	---MCZ	200	added ('OK')	text/css	date:Fri,%2013%20Aug%202021%2017:12:17%20GMT	https://7oroof.com/demos/solatec/assets/css/libraries.css	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/css/libraries.css	(from https://7oroof.com/demos/solatec/)
22:27:10	174451/174451	---MCZ	200	added ('OK')	text/css	date:Fri,%2013%20Aug%202021%2017:12:17%20GMT	https://7oroof.com/demos/solatec/assets/css/style.css	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/css/style.css	(from https://7oroof.com/demos/solatec/)
22:27:11	23672/23672	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:06%20GMT	https://7oroof.com/demos/solatec/contact-us.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/contact-us.html	(from https://7oroof.com/demos/solatec/)
22:27:11	987/987	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Aug%202021%2017:12:58%20GMT	https://7oroof.com/demos/solatec/assets/images/flags/en.png	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/images/flags/en.png	(from https://7oroof.com/demos/solatec/)
22:27:11	161/161	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Aug%202021%2017:12:58%20GMT	https://7oroof.com/demos/solatec/assets/images/flags/fr.png	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/images/flags/fr.png	(from https://7oroof.com/demos/solatec/)
22:27:11	176/176	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Aug%202021%2017:12:59%20GMT	https://7oroof.com/demos/solatec/assets/images/flags/gr.png	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/images/flags/gr.png	(from https://7oroof.com/demos/solatec/)
22:27:12	72429/72429	---MCZ	200	added ('OK')	text/html	date:Thu,%2010%20Aug%202023%2014:55:15%20GMT	https://7oroof.com/demos/solatec/index.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/index-2.html	(from https://7oroof.com/demos/solatec/)
22:27:12	2401/2401	---M--	200	added ('OK')	image/png	date:Fri,%2013%20Aug%202021%2017:13:06%20GMT	https://7oroof.com/demos/solatec/assets/images/logo/logo.png	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/assets/images/logo/logo.png	(from https://7oroof.com/demos/solatec/)
22:27:12	61007/61007	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:08%20GMT	https://7oroof.com/demos/solatec/home-modern.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/home-modern.html	(from https://7oroof.com/demos/solatec/)
22:27:12	58727/58727	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:08%20GMT	https://7oroof.com/demos/solatec/home-classic.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/home-classic.html	(from https://7oroof.com/demos/solatec/)
22:27:12	56327/56327	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:05%20GMT	https://7oroof.com/demos/solatec/about-us.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/about-us.html	(from https://7oroof.com/demos/solatec/)
22:27:13	34927/34927	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:09%20GMT	https://7oroof.com/demos/solatec/how-it-works.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/how-it-works.html	(from https://7oroof.com/demos/solatec/)
22:27:13	26257/26257	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:13%20GMT	https://7oroof.com/demos/solatec/team.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/team.html	(from https://7oroof.com/demos/solatec/)
22:27:13	40069/40069	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:05%20GMT	https://7oroof.com/demos/solatec/awards.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/awards.html	(from https://7oroof.com/demos/solatec/)
22:27:13	40841/40841	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:09%20GMT	https://7oroof.com/demos/solatec/pricing.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/pricing.html	(from https://7oroof.com/demos/solatec/)
22:27:14	39851/39851	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:07%20GMT	https://7oroof.com/demos/solatec/faqs.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/faqs.html	(from https://7oroof.com/demos/solatec/)
22:27:14	21499/21499	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:07%20GMT	https://7oroof.com/demos/solatec/gallery.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/gallery.html	(from https://7oroof.com/demos/solatec/)
22:27:14	39355/39355	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:06%20GMT	https://7oroof.com/demos/solatec/careers.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/careers.html	(from https://7oroof.com/demos/solatec/)
22:27:14	34388/34388	---MCZ	200	added ('OK')	text/html	date:Fri,%2013%20Aug%202021%2017:12:13%20GMT	https://7oroof.com/demos/solatec/shop.html	C:/My%20Web%20Sites/TSA/7oroof.com/demos/solatec/shop.html	(from https://7oroof.com/demos/solatec/)
